,count,unique,top,freq
0,7257,226,P68688,3608
1,6955,259,P57548,1705
2,6699,279,P41221,1675
3,6555,272,P56118,2242
4,6436,256,P56118,1244
5,6327,262,P90615,990
6,6213,274,P48107,873
7,6095,267,P98960,722
8,5987,266,P98960,708
9,5875,279,P42042,560
10,5775,277,P90226,435
11,5688,272,P90226,353
12,5627,272,P37469,350
13,5571,284,P37469,299
14,5494,289,P81629,254
15,5424,282,P81629,259
