,U00214,U12942,U12971,U14881,U14903,U14908,U14913,U14949,U14989,U15243,U15747,U15826,U15827,U15828,U15954,U15956,U15958,U15959,U15961,U15962,U15963,U15964,U15966,U15967,U15969,U15971,U15977,U16053,U16059,U16072,U16080,U16117,U16132,U16288,U16291,U16326,U16329,U16330,U16332,U16335,U16339,U16342,U16345,U16346,U16348,U16349,U16350,U16355,U16366,U16367,U16369,U16370,U16371,U16372,U16373,U16374,U16376,U16377,U16378,U16379,U16381,U16383,U16384,U16385,U16386,U16388,U16389,U16404,U16409,U16564,U16609,U16688
P27498,"1,000000","1,000000","1,000000","1,000000","0,000000","1,000000","0,200000","0,285714","0,000000","0,500000","1,000000","1,000000","0,000000","0,000000","0,333333","0,333333","1,000000","0,250000","1,000000","1,000000","0,000000","1,000000","0,400000","0,333333","0,500000","0,500000","0,500000","1,000000","0,333333","1,000000","1,000000","0,000000","1,000000","0,000000","0,000000","0,500000","0,500000","0,000000","0,000000","1,000000","1,000000","0,333333","0,500000","1,000000","0,500000","1,000000","0,500000","0,500000","1,000000","0,000000","0,000000","1,000000","0,333333","0,500000","1,000000","1,000000","1,000000","0,000000","0,000000","0,000000","0,250000","0,333333","1,000000","0,000000","1,000000","0,250000","0,333333","0,000000","0,500000","0,000000","0,000000","0,000000"
P87920,"0,250000","1,000000","1,000000","1,000000","1,000000","0,125000","1,000000","0,500000","1,000000","1,000000","1,000000","0,333333","0,000000","1,000000","1,000000","0,333333","1,000000","0,500000","1,000000","0,200000","0,000000","0,000000","0,333333","0,500000","1,000000","1,000000","0,142857","0,500000","0,200000","1,000000","1,000000","1,000000","0,250000","0,000000","0,000000","1,000000","0,500000","0,000000","0,000000","0,333333","0,500000","0,000000","1,000000","0,000000","1,000000","1,000000","1,000000","1,000000","1,000000","0,000000","0,000000","0,500000","0,250000","0,500000","1,000000","0,333333","1,000000","0,000000","1,000000","0,000000","1,000000","0,333333","1,000000","0,000000","1,000000","1,000000","0,000000","0,000000","0,250000","0,000000","0,000000","0,000000"
P90532,"1,000000","0,000000","0,000000","0,000000","0,000000","0,083333","0,200000","0,250000","0,000000","0,000000","0,200000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,333333","0,000000","1,000000","1,000000","0,333333","0,500000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,250000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,333333","0,250000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,200000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
P42280,"1,000000","0,166667","0,500000","0,000000","0,333333","0,166667","0,333333","1,000000","0,000000","0,500000","1,000000","0,333333","0,000000","0,500000","0,500000","0,250000","0,200000","1,000000","1,000000","0,500000","0,000000","1,000000","0,500000","0,200000","1,000000","1,000000","1,000000","1,000000","0,500000","0,250000","1,000000","0,500000","0,000000","0,000000","1,000000","0,500000","1,000000","1,000000","1,000000","0,333333","1,000000","1,000000","1,000000","1,000000","1,000000","1,000000","0,500000","0,333333","1,000000","1,000000","0,000000","0,500000","1,000000","1,000000","1,000000","1,000000","1,000000","1,000000","1,000000","0,000000","0,333333","1,000000","1,000000","1,000000","0,200000","1,000000","1,000000","0,000000","0,500000","1,000000","0,333333","0,000000"
P84786,"1,000000","0,000000","0,000000","1,000000","0,000000","0,333333","0,500000","1,000000","0,000000","0,250000","0,000000","0,250000","0,000000","0,000000","0,000000","0,000000","0,142857","0,000000","1,000000","1,000000","0,000000","0,000000","0,500000","0,000000","0,333333","0,200000","1,000000","0,250000","1,000000","1,000000","0,333333","1,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","1,000000","1,000000","0,200000","0,000000","0,000000","0,000000","0,333333","0,000000","0,000000","1,000000","0,000000","0,000000","1,000000","0,000000","1,000000","1,000000","1,000000","1,000000","0,000000","0,500000","0,000000","0,500000","0,333333","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000"
P13623,"1,000000","1,000000","1,000000","0,000000","1,000000","1,000000","1,000000","1,000000","0,000000","1,000000","1,000000","1,000000","0,000000","1,000000","0,500000","1,000000","1,000000","1,000000","1,000000","1,000000","0,000000","1,000000","1,000000","1,000000","0,500000","1,000000","1,000000","1,000000","1,000000","1,000000","1,000000","0,500000","0,000000","0,000000","0,000000","1,000000","0,666667","1,000000","1,000000","1,000000","1,000000","1,000000","0,500000","1,000000","0,500000","1,000000","1,000000","1,000000","1,000000","1,000000","0,000000","1,000000","1,000000","0,500000","0,333333","1,000000","1,000000","0,000000","1,000000","0,000000","1,000000","1,000000","1,000000","1,000000","0,333333","1,000000","1,000000","0,000000","0,666667","0,000000","1,000000","0,000000"
P39799,"1,000000","0,000000","0,000000","0,000000","0,000000","0,250000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","1,000000","0,333333","0,000000","1,000000","1,000000","0,500000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","1,000000","1,000000","0,250000","1,000000","0,000000","1,000000","0,000000","0,500000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000"
P45829,"0,333333","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","1,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000"
P52233,"0,500000","0,250000","1,000000","0,000000","0,333333","0,066667","1,000000","0,125000","1,000000","0,000000","0,333333","0,000000","0,000000","0,000000","0,333333","0,000000","0,333333","0,000000","0,500000","0,166667","0,000000","0,000000","0,000000","0,111111","0,166667","0,500000","0,125000","1,000000","0,333333","1,000000","0,500000","1,000000","0,000000","0,000000","0,000000","0,500000","0,750000","0,000000","0,000000","0,500000","1,000000","0,500000","1,000000","0,000000","0,000000","0,250000","0,333333","0,333333","0,500000","0,000000","0,000000","0,250000","0,200000","0,500000","0,000000","0,500000","1,000000","0,000000","1,000000","0,000000","0,333333","1,000000","1,000000","0,000000","0,333333","1,000000","0,250000","0,000000","0,333333","0,000000","0,000000","0,000000"
P99133,"1,000000","1,000000","0,500000","1,000000","0,000000","0,666667","1,000000","0,285714","1,000000","1,000000","1,000000","0,000000","0,000000","1,000000","0,000000","1,000000","1,000000","0,000000","1,000000","1,000000","0,000000","1,000000","0,000000","0,500000","0,100000","1,000000","0,200000","0,500000","1,000000","1,000000","1,000000","1,000000","1,000000","0,000000","0,000000","1,000000","0,333333","0,000000","0,000000","1,000000","1,000000","0,500000","1,000000","0,000000","0,000000","1,000000","1,000000","0,500000","0,000000","0,000000","0,000000","1,000000","1,000000","1,000000","1,000000","1,000000","1,000000","0,000000","1,000000","0,000000","1,000000","0,000000","1,000000","0,000000","0,333333","1,000000","0,500000","0,000000","1,000000","0,000000","0,000000","0,000000"
P91748,"1,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,200000","1,000000","0,000000","0,000000","1,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,083333","0,250000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,125000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
P29094,"0,600000","1,000000","1,000000","0,142857","0,000000","0,500000","0,111111","0,166667","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","1,000000","0,125000","0,000000","0,142857","0,500000","0,000000","0,166667","0,000000","0,000000","0,200000","0,100000","0,500000","0,333333","0,142857","0,200000","0,500000","1,000000","0,000000","0,000000","0,000000","0,000000","0,333333","0,000000","0,000000","0,333333","0,200000","0,500000","0,333333","1,000000","0,000000","0,250000","0,333333","0,166667","0,500000","0,000000","0,000000","0,333333","0,000000","0,500000","0,333333","0,166667","0,333333","0,000000","0,500000","0,000000","0,333333","0,142857","0,500000","0,000000","1,000000","0,000000","0,000000","0,000000","0,200000","0,000000","0,000000","0,000000"
P98179,"1,000000","1,000000","1,000000","0,000000","0,000000","0,333333","0,500000","0,333333","0,333333","0,000000","0,166667","0,000000","0,000000","0,000000","0,000000","1,000000","0,333333","0,000000","0,000000","1,000000","0,000000","0,250000","0,000000","0,000000","0,000000","0,500000","0,250000","0,500000","0,666667","0,500000","0,500000","0,500000","0,333333","0,000000","0,000000","0,500000","0,166667","0,000000","0,000000","1,000000","0,333333","0,000000","1,000000","1,000000","0,000000","0,500000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,200000","1,000000","0,500000","1,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
P70093,"1,000000","1,000000","1,000000","0,000000","0,000000","0,055556","0,200000","0,000000","0,000000","0,000000","1,000000","0,333333","0,000000","0,000000","0,333333","1,000000","1,000000","0,000000","0,500000","0,250000","0,000000","0,333333","0,000000","0,000000","1,000000","0,166667","0,500000","0,250000","0,142857","0,500000","1,000000","1,000000","0,000000","0,000000","0,000000","1,000000","0,500000","0,000000","0,000000","1,000000","0,200000","1,000000","0,250000","0,000000","0,500000","0,500000","1,000000","0,200000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,500000","0,500000","1,000000","0,000000","0,000000","0,000000","1,000000","0,200000","0,250000","0,000000","0,000000","1,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000"
P16072,"1,000000","1,000000","0,250000","0,000000","0,000000","0,028571","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","1,000000","1,000000","0,142857","0,000000","0,000000","0,666667","0,000000","0,000000","0,000000","0,000000","0,000000","0,333333","0,125000","0,000000","0,000000","0,166667","0,250000","1,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,125000","0,000000","0,000000","0,500000","0,000000","0,000000","0,333333","0,333333","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,200000","1,000000","1,000000","1,000000","0,000000","0,000000","0,000000","0,200000","0,500000","0,000000","0,000000","1,000000","0,250000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
P81966,"0,500000","1,000000","0,333333","0,142857","0,000000","0,066667","0,500000","0,166667","0,000000","0,000000","0,250000","1,000000","0,000000","0,000000","1,000000","0,000000","0,250000","0,500000","1,000000","0,333333","0,000000","0,000000","0,000000","0,000000","1,000000","0,500000","0,250000","0,250000","0,666667","0,500000","0,500000","0,500000","0,000000","0,000000","0,000000","1,000000","1,000000","0,000000","0,000000","0,500000","0,166667","0,111111","0,250000","0,500000","1,000000","0,333333","0,250000","0,333333","1,000000","0,000000","0,000000","0,500000","0,000000","1,000000","0,333333","0,142857","0,500000","0,000000","1,000000","0,000000","0,500000","0,000000","1,000000","0,000000","1,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
P81602,"1,000000","0,142857","1,000000","0,100000","0,000000","0,500000","1,000000","0,666667","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,200000","0,500000","0,000000","1,000000","0,500000","0,000000","0,500000","0,000000","0,000000","0,200000","0,500000","0,076923","0,500000","0,250000","0,500000","1,000000","1,000000","0,000000","0,000000","0,000000","1,000000","1,000000","0,000000","0,000000","1,000000","1,000000","0,000000","1,000000","0,500000","0,000000","0,500000","0,500000","0,500000","0,166667","0,000000","0,000000","0,000000","0,000000","0,500000","0,500000","0,500000","1,000000","0,000000","0,500000","0,000000","0,000000","1,000000","0,000000","0,000000","0,333333","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
P41412,"1,000000","1,000000","1,000000","0,000000","0,000000","1,000000","1,000000","0,666667","0,000000","0,000000","1,000000","0,000000","0,000000","0,250000","1,000000","1,000000","0,500000","0,000000","1,000000","0,500000","0,000000","1,000000","0,000000","0,000000","1,000000","1,000000","1,000000","1,000000","0,500000","0,500000","1,000000","0,333333","0,000000","0,000000","0,000000","1,000000","1,000000","0,000000","0,000000","0,500000","1,000000","1,000000","1,000000","0,500000","0,000000","0,500000","0,500000","1,000000","1,000000","0,000000","0,000000","0,500000","0,000000","1,000000","1,000000","0,333333","0,500000","0,000000","1,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
P52205,"1,000000","1,000000","0,333333","0,000000","0,000000","1,000000","0,000000","0,000000","0,333333","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,250000","1,000000","0,000000","0,500000","0,000000","1,000000","0,000000","0,000000","0,000000","1,000000","0,333333","0,000000","0,000000","1,000000","1,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","1,000000","0,000000","1,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
P90664,"1,000000","0,666667","0,000000","0,000000","0,000000","0,066667","1,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","1,000000","1,000000","0,500000","0,000000","1,000000","1,000000","0,000000","0,500000","0,500000","0,000000","0,333333","0,500000","1,000000","0,333333","1,000000","1,000000","0,250000","0,500000","0,200000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","1,000000","0,333333","1,000000","1,000000","0,000000","0,500000","1,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,333333","0,000000","1,000000","1,000000","1,000000","0,333333","0,000000","1,000000","0,000000","0,500000","0,500000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000"
P34091,"0,333333","0,142857","0,500000","1,000000","0,200000","0,045455","0,333333","0,200000","0,000000","0,166667","0,500000","0,142857","0,000000","0,250000","1,000000","0,250000","0,250000","0,333333","0,666667","0,500000","1,000000","0,250000","0,200000","0,250000","0,083333","0,333333","1,000000","0,500000","0,333333","0,250000","0,250000","0,333333","0,000000","0,000000","0,000000","1,000000","0,250000","0,333333","1,000000","0,250000","0,142857","0,333333","0,333333","1,000000","0,000000","0,500000","0,250000","0,166667","0,500000","1,000000","0,000000","0,250000","0,000000","0,125000","0,500000","0,333333","0,333333","0,000000","1,000000","0,000000","0,250000","0,250000","1,000000","0,000000","0,200000","0,250000","0,500000","0,000000","0,500000","0,000000","0,250000","0,000000"
P56635,"1,000000","0,000000","0,000000","0,000000","0,000000","0,200000","0,000000","0,166667","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,500000","0,000000","1,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,333333","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","1,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","0,000000","1,000000","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000"
P25401,"1,000000","0,000000","0,000000","0,500000","0,000000","0,222222","0,250000","0,500000","1,000000","0,200000","0,500000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,333333","0,000000","1,000000","1,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,166667","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,200000","0,000000","0,333333","0,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,500000","0,500000","0,000000","0,000000"
P19724,"0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,166667","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,333333","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
P99555,"1,000000","1,000000","0,250000","0,000000","0,200000","0,024390","0,250000","1,000000","1,000000","0,000000","0,200000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,111111","0,000000","0,250000","0,166667","0,500000","0,500000","1,000000","0,000000","0,500000","0,333333","0,200000","0,000000","0,000000","0,000000","0,000000","0,142857","0,000000","0,000000","1,000000","0,500000","0,000000","1,000000","0,000000","0,000000","0,000000","0,166667","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","1,000000","0,500000","1,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000"
P49603,"1,000000","1,000000","0,500000","0,000000","0,000000","0,142857","1,000000","1,000000","0,000000","1,000000","0,333333","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","1,000000","0,000000","1,000000","0,000000","0,333333","0,000000","1,000000","1,000000","0,000000","0,000000","0,500000","0,250000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","1,000000","0,000000","0,000000","1,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","1,000000","0,000000","1,000000","0,000000","0,000000","0,000000","0,000000","0,000000","0,500000","0,000000","0,000000","0,000000","0,000000","0,000000","0,166667","0,000000","0,000000","0,000000"
